생존	A	B	장	절	관
14	6	8	제3장 소비자이론	제9절 소비자이론의 응용	제3관 소비자잉여
14	8	6	제5장 시장이론	제15절 독점적 경쟁시장	제2관 단기·장기균형
15	11	4	제7장 경기변동과 경제성장	제18절 경기변동론	제2관 케인즈학파 경기변동이론
15	12	3	제3장 소비자이론	제10절 기대효용이론	제2관 위험에 대한 태도
15	8	7	제5장 시장이론	제14절 독점시장	제4관 독점의 폐해와 규제
15	10	5	제6장 생산요소시장과 소득분배	제19절 불완전경쟁 요소시장	제2관 공급독점 (노동조합)
15	8	7	제6장 생산요소시장과 소득분배	제20절 소득분배이론	제2관 로렌츠곡선과 지니계수
15	11	4	제6장 생산요소시장과 소득분배	제20절 소득분배이론	제3관 분배이론 (한계생산력설 등)
15	8	7	제8장 시장실패와 정보경제학	제23절 시장실패	제3관 공공재
16	12	4	제6장 조세의 경제적 효과	제13절 조세의 경제적 효과	제2관 조세와 저축·투자
16	11	5	제5장 인플레이션과 실업	제13절 노동시장과 실업	제2관 자연실업률 이론
16	10	6	제2장 수요·공급의 이론	제3절 수요·공급의 이론	제3관 시장균형
16	9	7	제2장 수요·공급의 이론	제4절 수요와 공급의 탄력성	제4관 탄력성과 총수입
16	13	3	제7장 일반균형이론과 후생경제학	제21절 일반균형이론과 경제적 효율성	제2관 에지워스 상자와 파레토 효율
17	5	12	제3장 화폐금융론	제7절 금융제도와 화폐공급	제2관 본원통화와 통화승수
18	9	9	제7장 재정학의 기타주제	제14절 소득분배 및 사회보장	제4관 부의 소득세·근로장려세제
18	9	9	제4장 총수요·총공급이론	제11절 총수요·총공급	제2관 총공급곡선 (단기·장기)
18	14	4	제6장 거시경제학파와 안정화정책	제15절 각 학파 모형의 주요내용	제1관 고전학파와 케인즈학파
18	11	7	제7장 일반균형이론 및 후생경제학	제21절 일반균형이론과 경제적 효율성	제1관 일반균형의 개념
19	7	12	제2장 수요·공급의 이론	제5절 수요·공급이론의 응용	제2관 조세의 귀착과 사회후생 손실
19	15	4	제3장 공공지출이론	제6절 정부지출과 예산제도	제1관 정부지출의 분류와 추세
20	11	9	제2장 수요·공급의 이론	제4절 수요와 공급의 탄력성	제3관 공급의 가격탄력성
20	10	10	제2장 외부성, 공공재, 공공선택이론	제3절 외부성	제1관 외부성의 유형과 효과
21	14	7	제7장 재정학의 기타주제	제14절 소득분배 및 사회보장	제1관 소득분배의 측정 (로렌츠곡선·지니계수)
21	16	5	제6장 거시경제학파와 안정화정책	제15절 각 학파 모형의 주요내용	제3관 학파 비교
21	10	11	제6장 생산요소시장과 소득분배	제18절 완전경쟁 요소시장	제2관 요소공급
21	8	13	제8장 시장실패와 정보경제학	제23절 시장실패	제1관 시장실패의 원인
22	17	5	제2장 외부성, 공공재, 공공선택이론	제5절 공공선택이론	제2관 애로우의 불가능성정리
22	6	16	제3장 공공지출이론	제7절 비용-편익분석	제2관 사회적 할인율
23	12	11	제2장 국제금융론	제4절 국제수지론	제1관 국제수지표의 구조
24	15	9	제2장 외부성, 공공재, 공공선택이론	제5절 공공선택이론	제4관 지대추구행위
24	11	13	제3장 화폐금융론	제7절 금융제도와 화폐공급	제1관 화폐의 기능과 통화지표
24	15	9	제2장 수요·공급의 이론	제4절 수요와 공급의 탄력성	제2관 수요의 소득탄력성·교차탄력성
24	12	12	제6장 생산요소시장과 소득분배	제18절 완전경쟁 요소시장	제3관 요소시장 균형
24	15	9	제7장 일반균형이론 및 후생경제학	제22절 후생경제학	제2관 사회후생함수
25	17	8	제3장 화폐금융론	제8절 화폐수요와 금융정책	제1관 고전학파의 화폐수요이론
